#LECROYWR610Zi	1	Histogram Time: 57.4597s
#Segments	1	SegmentSize	100
#Segment	TrigTime	TimeSinceSegment1
#1	07-Aug-2018 13:58:41	0                 
Time	Ampl
0.00452	0
0.00462	0
0.00472	0
0.00482	0
0.00492	0
0.00502	0
0.00512	0
0.00522	0
0.00532	0
0.00542	0
0.00552	0
0.00562	0
0.00572	0
0.00582	0
0.00592	0
0.00602	0
0.00612	0
0.00622	0
0.00632	0
0.00642	0
0.00652	0
0.00662	2
0.00672	7
0.00682	6
0.00692	13
0.00702	17
0.00712	19
0.00722	20
0.00732	23
0.00742	27
0.00752	34
0.00762	36
0.00772	27
0.00782	41
0.00792	28
0.00802	27
0.00812	38
0.00822	33
0.00832	35
0.00842	47
0.00852	30
0.00862	44
0.00872	43
0.00882	39
0.00892	32
0.00902	32
0.00912	40
0.00922	30
0.00932	28
0.00942	23
0.00952	17
0.00962	25
0.00972	24
0.00982	15
0.00992	10
0.01002	9
0.01012	15
0.01022	7
0.01032	7
0.01042	4
0.01052	7
0.01062	8
0.01072	3
0.01082	4
0.01092	1
0.01102	5
0.01112	1
0.01122	1
0.01132	0
0.01142	5
0.01152	1
0.01162	4
0.01172	1
0.01182	1
0.01192	2
0.01202	0
0.01212	0
0.01222	0
0.01232	0
0.01242	0
0.01252	1
0.01262	0
0.01272	0
0.01282	0
0.01292	0
0.01302	0
0.01312	0
0.01322	0
0.01332	1
0.01342	0
0.01352	0
0.01362	0
0.01372	0
0.01382	0
0.01392	0
0.01402	0
0.01412	0
0.01422	0
0.01432	0
0.01442	0
