#LECROYWR610Zi	1	Histogram Time:23.6783s
#Segments	1	SegmentSize	100
#Segment	TrigTime	TimeSinceSegment1
#1	07-Aug-2018 13:55:08	0                 
Time	Ampl
0.00028	0
0.00048	0
0.00068	0
0.00088	0
0.00108	0
0.00128	0
0.00148	0
0.00168	0
0.00188	0
0.00208	0
0.00228	0
0.00248	0
0.00268	0
0.00288	0
0.00308	0
0.00328	0
0.00348	0
0.00368	0
0.00388	0
0.00408	0
0.00428	0
0.00448	0
0.00468	0
0.00488	0
0.00508	0
0.00528	2
0.00548	5
0.00568	26
0.00588	40
0.00608	74
0.00628	100
0.00648	95
0.00668	103
0.00688	73
0.00708	66
0.00728	46
0.00748	39
0.00768	37
0.00788	39
0.00808	31
0.00828	27
0.00848	30
0.00868	36
0.00888	25
0.00908	16
0.00928	22
0.00948	14
0.00968	10
0.00988	10
0.01008	7
0.01028	5
0.01048	3
0.01068	3
0.01088	3
0.01108	2
0.01128	2
0.01148	1
0.01168	2
0.01188	2
0.01208	0
0.01228	0
0.01248	0
0.01268	1
0.01288	1
0.01308	1
0.01328	0
0.01348	0
0.01368	1
0.01388	0
0.01408	0
0.01428	0
0.01448	0
0.01468	0
0.01488	0
0.01508	0
0.01528	0
0.01548	0
0.01568	0
0.01588	0
0.01608	0
0.01628	0
0.01648	0
0.01668	0
0.01688	0
0.01708	0
0.01728	0
0.01748	0
0.01768	0
0.01788	0
0.01808	0
0.01828	0
0.01848	0
0.01868	0
0.01888	0
0.01908	0
0.01928	0
0.01948	0
0.01968	0
0.01988	0
0.02008	0
