#LECROYWR610Zi	1	Histogram Time: 529.668 T=233
#Segments	1	SegmentSize	100
#Segment	TrigTime	TimeSinceSegment1
#1	07-Aug-2018 17:06:22	0                 
Time	Ampl
-0.0214	0
-0.0204	0
-0.0194	0
-0.0184	0
-0.0174	0
-0.0164	0
-0.0154	0
-0.0144	0
-0.0134	0
-0.0124	0
-0.0114	0
-0.0104	0
-0.0094	0
-0.0084	0
-0.0074	0
-0.0064	0
-0.0054	0
-0.0044	0
-0.0034	0
-0.0024	0
-0.0014	0
-0.0004	0
0.0006	0
0.0016	0
0.0026	0
0.0036	0
0.0046	0
0.0056	0
0.0066	0
0.0076	0
0.0086	0
0.0096	457
0.0106	291
0.0116	61
0.0126	15
0.0136	3
0.0146	1
0.0156	4
0.0166	1
0.0176	0
0.0186	0
0.0196	0
0.0206	1
0.0216	0
0.0226	3
0.0236	19
0.0246	43
0.0256	34
0.0266	25
0.0276	6
0.0286	2
0.0296	1
0.0306	0
0.0316	0
0.0326	0
0.0336	0
0.0346	0
0.0356	0
0.0366	0
0.0376	0
0.0386	0
0.0396	0
0.0406	1
0.0416	0
0.0426	0
0.0436	1
0.0446	4
0.0456	2
0.0466	3
0.0476	7
0.0486	0
0.0496	3
0.0506	0
0.0516	0
0.0526	0
0.0536	0
0.0546	0
0.0556	0
0.0566	0
0.0576	0
0.0586	0
0.0596	0
0.0606	0
0.0616	0
0.0626	0
0.0636	0
0.0646	1
0.0656	0
0.0666	0
0.0676	0
0.0686	1
0.0696	7
0.0706	3
0.0716	0
0.0726	0
0.0736	0
0.0746	0
0.0756	0
0.0766	0
0.0776	0
