#LECROYWR610Zi	1	Histogram Time:230.6 T=233
#Segments	1	SegmentSize	100
#Segment	TrigTime	TimeSinceSegment1
#1	07-Aug-2018 17:20:56	0                 
Time	Ampl
-0.0058	0
-0.0048	0
-0.0038	0
-0.0028	0
-0.0018	0
-0.0008	0
0.0002	0
0.0012	0
0.0022	0
0.0032	0
0.0042	0
0.0052	0
0.0062	0
0.0072	0
0.0082	0
0.0092	60
0.0102	167
0.0112	26
0.0122	14
0.0132	5
0.0142	0
0.0152	4
0.0162	2
0.0172	4
0.0182	0
0.0192	2
0.0202	5
0.0212	0
0.0222	2
0.0232	1
0.0242	3
0.0252	0
0.0262	1
0.0272	1
0.0282	0
0.0292	1
0.0302	0
0.0312	1
0.0322	1
0.0332	0
0.0342	2
0.0352	1
0.0362	8
0.0372	29
0.0382	77
0.0392	99
0.0402	106
0.0412	69
0.0422	25
0.0432	12
0.0442	2
0.0452	3
0.0462	1
0.0472	0
0.0482	0
0.0492	0
0.0502	0
0.0512	0
0.0522	0
0.0532	0
0.0542	0
0.0552	0
0.0562	0
0.0572	0
0.0582	0
0.0592	0
0.0602	0
0.0612	0
0.0622	0
0.0632	1
0.0642	0
0.0652	2
0.0662	1
0.0672	0
0.0682	0
0.0692	126
0.0702	102
0.0712	31
0.0722	3
0.0732	0
0.0742	0
0.0752	0
0.0762	0
0.0772	0
0.0782	0
0.0792	0
0.0802	0
0.0812	0
0.0822	0
0.0832	0
0.0842	0
0.0852	0
0.0862	0
0.0872	0
0.0882	0
0.0892	0
0.0902	0
0.0912	0
0.0922	0
0.0932	0
